"1
Undergraduate Programmes",,,,,,,,,
Undergraduate First Degree - New Starters in 2024/25,Full time,,,,,,,,
,Home,Overseas 2,,,,,,,
Home students,"£9,250",,,,,,,,
"Overseas students - Please see table below ""Overseas Undergraduate
Fees by Programme for 2024/25 Entry""",,"See Table
Below",,,,,,,
General Course,"£26,784","£26,784",,,,,,,
"Undergraduate First Degree - Continuing Students Starting in
2023/24 or Earlier",Full time,,,,,,,,
,Home,Overseas,,,,,,,
Home students who started their degree in 2017/18 or later,"£9,250",,,,,,,,
"Overseas students who started their degree in 2023/24 TIER 1
(includes EU students)",,"£24,720",,,,,,,
"Overseas students who started their degree in 2023/24 TIER 2
(includes EU students)",,"£25,656",,,,,,,
"Overseas students who started their degree in 2023/24 TIER 3
(includes EU students)",,"£26,592",,,,,,,
"Overseas students who started their degree in 2022/23 (includes EU
students)",,"£23,330",,,,,,,
"Overseas students who started their degree in 2021/22 (includes EU
students)",,"£22,430",,,,,,,
"Overseas students who started their degree in 2020/21 (does not
include EU students)",,"£21,570",,,,,,,
"Overseas students who started their degree in 2019/20 or earlier (does
not include EU students)",,"£24,216",,,,,,,
Overseas Undergraduate Fees by Programme for 2024/25 Entry,,,,,,,,,
Undergraduate First Degree - New Overseas Starters in 2024/25,Full time,,,,,,,,
,Home,Overseas,,,,,,,
BSc Accounting and Finance,,"£27,192",,,,,,,
BSc Actuarial Science,,"£27,192",,,,,,,
BSc Actuarial Science (with a Placement Year),,"£27,192",,,,,,,
BA Anthropology and Law,,"£26,184",,,,,,,
BSc Data Science,,"£27,192",,,,,,,
BSc Economic History,,"£26,184",,,,,,,
BSc Economic History and Geography,,"£26,184",,,,,,,
BSc Econometrics and Mathematical Economics,,"£28,176",,,,,,,
BSc Economics,,"£28,176",,,,,,,
BSc Economics and Economic History,,"£28,176",,,,,,,
BSc Environment and Sustainable Development,,"£26,184",,,,,,,
BSc Environment and Sustainable Development with Economics,,"£27,192",,,,,,,
BSc Finance,,"£28,176",,,,,,,
BSc Financial Mathematics and Statistics,,"£27,192",,,,,,,
BA Geography,,"£26,184",,,,,,,
BSc Geography with Economics,,"£27,192",,,,,,,
BA History,,"£26,184",,,,,,,
BSc History and Politics,,"£26,184",,,,,,,
BSc International Relations,,"£27,192",,,,,,,
BSc International Relations and Chinese,,"£26,184",,,,,,,
BSc International Relations and History,,"£26,184",,,,,,,
BSc International Social and Public Policy,,"£26,184",,,,,,,
BSc International Social and Public Policy and Economics,,"£27,192",,,,,,,
