Department,Level,Home Fee,Overseas Fee
Accounting,Postgraduate,26976.0,27504.0
Anthropology,Postgraduate,13536.0,20904.0
Department not found,Postgraduate,23357721.5,22579.35087719298
Department not found,Undergraduate,9250.0,19152.0
Economic History,Postgraduate,13536.0,20904.0
Economics,Postgraduate,24952.0,25304.0
European Institute,Postgraduate,20904.0,20904.0
Finance,Postgraduate,34200.0,34200.0
Gender Studies,Postgraduate,13536.0,20904.0
Geography and Environment,Postgraduate,193387289.14285713,21160.0
Health Policy,Postgraduate,,
International Development,Postgraduate,15378.0,20904.0
International History,Postgraduate,13536.0,20904.0
Management,Postgraduate,26220.0,26660.0
Mathematics,Postgraduate,20256.0,24204.0
Media and Communications,Postgraduate,20904.0,20904.0
Methodology,Postgraduate,20256.0,24204.0
Philosophy Logic and Scientific Method,Postgraduate,17220.0,20904.0
Psychological and Behavioural Science,Postgraduate,13536.0,20904.0
Social Policy,Postgraduate,10728.0,20904.0
Sociology,Postgraduate,14152.0,21416.0
Statistics,Postgraduate,26976.0,27504.0
