Department,Level,Home Fee,Overseas Fee
Accounting,Postgraduate,31584.0,32208.0
Anthropology,Postgraduate,15816.0,24456.0
Department not found,Postgraduate,24302.196078431374,26895.924528301886
Department not found,Undergraduate,9250.0,23330.0
Economic History,Postgraduate,15816.0,24456.0
Economics,Postgraduate,28020.0,28332.0
European Institute,Postgraduate,24456.0,24456.0
Finance,Postgraduate,35784.0,36096.0
Gender Studies,Postgraduate,15816.0,24456.0
Geography and Environment,Postgraduate,18969.0,25341.0
Government,Postgraduate,24456.0,24456.0
Health Policy,Postgraduate,21170.666666666668,26642.666666666668
International Development,Postgraduate,20136.0,24456.0
International History,Postgraduate,15816.0,24456.0
Management,Postgraduate,30513.6,31012.8
Mathematics,Postgraduate,23700.0,28332.0
Media and Communications,Postgraduate,24456.0,24456.0
Methodology,Postgraduate,23700.0,28332.0
Philosophy Logic and Scientific Method,Postgraduate,20136.0,24456.0
Psychological and Behavioural Science,Postgraduate,18528.0,24456.0
Sociology,Postgraduate,18524.571428571428,25892.571428571428
