"1
MSc in International Migration and Public Policy,"£23,520","£23,520",,,,,,,
MSc in International Political Economy (Both streams),"£25,224","£25,224",,,,,,,
MSc in International Relations (Both streams),"£25,224","£25,224",,,,,,,
MSc in International Social and Public Policy (All streams) 5,"£15,416","£23,720",,,,,,,
L,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
LLM,"£17,328","£25,224",,,,,,,
MSc in Local Economic Development,"£15,216","£23,520",,,,,,,
M,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
MSc in Management (12-Month Programme) 6,"£33,360","£33,360",,,,,,,
MSc in Management and Strategy,"£30,360","£30,960",,,,,,,
MSc in Management of Information Systems and Digital Innovation,"£30,360","£30,960",,,,,,,
MSc in Marketing,"£30,360","£30,960",,,,,,,
MSc in Media and Communications (All streams),"£23,520","£23,520",,,,,,,
"MSc in Media, Communication and Development","£23,520","£23,520",,,,,,,
O,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
MSc in Operations Research and Analytics,"£25,224","£25,224",,,,,,,
MSc in Organisational and Social Psychology,"£23,520","£23,520",,,,,,,
P,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
Master of Public Administration (MPA),See MPA Section,,,,,,,,
Master of Public Policy (MPP),"£35,152","£35,152",,,,,,,
MSc in Philosophy and Public Policy,"£23,520","£23,520",,,,,,,
MSc in Philosophy of Science,"£15,216","£23,520",,,,,,,
MSc in Philosophy of the Social Sciences,"£15,216","£23,520",,,,,,,
MSc in Political Economy of Europe,"£23,520","£23,520",,,,,,,
MSc in Political Economy of Late Development,"£15,216","£23,520",,,,,,,
MSc in Political Science and Political Economy,"£23,520","£23,520",,,,,,,
MSc in Political Sociology,"£15,216","£23,520",,,,,,,
MSc in Political Theory,"£15,216","£23,520",,,,,,,
MSc in Politics and Communication,"£23,520","£23,520",,,,,,,
MSc in Psychology of Economic Life,"£17,328","£23,520",,,,,,,
MSc in Public Policy and Administration (Both streams),"£23,520","£23,520",,,,,,,
Q,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
MSc in Quantitative Economic History,"£15,216","£23,520",,,,,,,
MSc in Quantitative Methods for Risk Management,"£30,360","£30,960",,,,,,,
R,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
MSc in Real Estate Economics and Finance,"£26,904","£26,904",,,,,,,
MSc in Regional and Urban Planning Studies,"£15,216","£23,520",,,,,,,
MSc in Regulation (Both streams),"£15,216","£23,520",,,,,,,
MSc in Risk and Finance,"£30,360","£30,960",,,,,,,
S,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
MSc in Social and Cultural Psychology,"£15,216","£23,520",,,,,,,
MSc in Social and Public Communication,"£15,216","£23,520",,,,,,,
MSc in Social Anthropology (All streams),"£15,216","£23,520",,,,,,,
MSc in Social Innovation and Entrepreneurship 7,"£31,860","£32,460",,,,,,,
MSc in Social Research Methods,"£15,216","£23,520",,,,,,,
MSc in Sociology,"£15,216","£23,520",,,,,,,
MSc in Statistics (including the Research stream and the Social,"£15,216","£23,520",,,,,,,
MSc in Statistics (Financial Statistics - both streams),"£30,360","£30,960",,,,,,,
MSc in Strategic Communications,"£23,520","£23,520",,,,,,,
T,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
MSc in Theory and History of International Relations,"£15,216","£23,520",,,,,,,
U,Full time,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
,,,,,,,,,
,,,,,,,,,
MSc in Urbanisation and Development,"£15,216","£23,520",,,,,,,
Double Degrees For Starters in 2021/22,,,,,,,,,
,2021/22,,,,,,,,
Year One (2021/22) at LSE,Home,"Overseas
(Including EU)",,,,,,,
"MSc in Global Media and Communications (with USC, Fudan or UCT)","£23,520","£23,520",,,,,,,
"LSE-Fudan Double Masters in the Global Political Economy of China
and Europe","£23,520","£23,520",,,,,,,
"LSE-Fudan Double Masters in Financial Statistics and Chinese
Economy","£30,360","£30,960",,,,,,,
LSE-Fudan Double Masters in International Social and Public Policy 8,"£15,416","£23,720",,,,,,,
Year Two (2022/23) at LSE (provisional fees),Home,"Overseas
(Including EU)",,,,,,,
"LSE-Bocconi Double Masters in European and International Public
Policy and Politics",Partner Fee,,,,,,,,
LSE-Columbia Double MSc in International and World History,Partner Fee,,,,,,,,
LSE-NUS Double MSc in Asian and Global History,Partner Fee,,,,,,,,
LSE-PKU Double MSc in International Affairs,Partner Fee,,,,,,,,
"LSE-PKU Double Degree in Public Administration and Government
(MSc in Public Policy and Administration)",Partner Fee,,,,,,,,
"LSE-PKU Double Degree in Environmental Policy, Technology and
Health:
MSc in Environment & Development or
MSc in Environmental Economics & Climate Change or
MSc in Environmental Policy & Regulation",Partner Fee,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"LSE-Sciences Po Double Masters in European Studies:
MSc in European and International Public Policy or
MSc in Culture and Conflict in a Global Europe or
MSc in Political Economy of Europe",Partner Fee,,,,,,,,
"LSE-Sciences Po Double Degree in the Political Economy of
Development",Partner Fee,,,,,,,,
"MSc in Urban Policy (MSc in Local Economic Development or MSc in
Regional and Urban Planning Studies)",Partner Fee,,,,,,,,
"Sciences Po-LSE Double Degree in Affaires Internationales and
International Relations / International Political Economy:
MSc in International Political Economy or
MSc in International Relations",Partner Fee,,,,,,,,
Year One institution optional,2021/22,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
"MA in Global Studies: A European Perspective (MSc in Global History
(Erasmus Mundus))","£15,216","£23,520",,,,,,,
Two-Year Programmes For Starters in 2021/22,,,,,,,,,
,2021/22,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
Global MSc in Management,"£31,360","£31,960",,,,,,,
MSc in Economics,"£23,520","£23,520",,,,,,,
Master of Public Administration (MPA) - Including All Specialisms,,,,,,,,,
,2021/22,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
Two years at LSE (2021/22 and 2022/23),"£26,383",,,,,,,,
Year 1 at LSE (2021/22); Year 2 (2022/23) at Partner Institution,"£26,383",,,,,,,,
Year 1 at Partner Institution (2021/22); Year 2 at LSE (2022/23),Partner Fee,,,,,,,,
Executive Masters,,,,,,,,,
,2021/22,,,,,,,,
,Home,"Overseas
(Including EU)",,,,,,,
Executive MSc in Behavioural Science,"£35,433","£35,433",,,,,,,
Executive Master's in Cities,"£36,275","£36,275",,,,,,,
"Executive MSc in Evaluation of Health Care Interventions and
Outcomes in collaboration with NICE","£14,040","£14,040",,,,,,,
MSc in Finance (Part Time),"£19,224","£19,224",,,,,,,
Executive Global MSc Management 9,"£65,724","£65,724",,,,,,,
"Executive MSc in Health Economics, Outcomes and Management in
Cardiovascular Sciences","£15,020","£15,020",,,,,,,
"Executive MSc in Health Economics, Policy and Management","£11,662","£11,662",,,,,,,
Executive MSc in International Strategy and Diplomacy,"£30,368","£30,368",,,,,,,
Executive Master's in Law 10,"£3,750 per module",,,,,,,,
Executive MPA,"£16,929","£16,929",,,,,,,
Executive MSc in Social Business and Entrepreneurship,"£33,280","£33,280",,,,,,,
MPhil/ MRes/ PhD Programmes,,,,,,,,,
,Full time,,,,,,,,
,"Home 11 12
(including
continuing EU
students)","Overseas
(including
new EU
entrants)",,,,,,,
"Old MPhil/PhD Structure - this fee structure applies to students
starting prior to 2013/14",,,,,,,,,
MPhil/ PhD (second year),"£4,500","£20,136",,,,,,,
MPhil/ PhD (third year),"£3,388","£15,096",,,,,,,
MPhil/ PhD (continuation fee),£792,£792,,,,,,,
"New MPhil/PhD structure - this fee structure applies to students
starting from 2013/14 onwards",,,,,,,,,
MPhil/ PhD (first year),"£4,500","£20,136",,,,,,,
MPhil/ PhD (second year),"£4,500","£20,136",,,,,,,
MPhil/ PhD (third year),"£4,500","£20,136",,,,,,,
MPhil/ PhD (fourth year),£0,£0,,,,,,,
MPhil/PhD (exceptional registration beyond the fourth year),"£4,500","£20,136",,,,,,,
