Department,Level,Home Fee,Overseas Fee
Accounting,Postgraduate,29184.0,29760.0
Anthropology,Postgraduate,14640.0,22608.0
Department not found,Postgraduate,22622.823529411766,25012.941176470587
Department not found,Undergraduate,9250.0,21570.0
Economic History,Postgraduate,14640.0,22608.0
Economics,Postgraduate,26992.0,27376.0
European Institute,Postgraduate,22608.0,22608.0
Finance,Postgraduate,33084.0,33372.0
Gender Studies,Postgraduate,14640.0,22608.0
Geography and Environment,Postgraduate,16532.571428571428,23310.85714285714
Government,Postgraduate,14640.0,22608.0
Health Policy,Postgraduate,18656.0,26264.0
International Development,Postgraduate,18624.0,22608.0
International History,Postgraduate,14640.0,22608.0
Management,Postgraduate,28200.0,28660.8
Mathematics,Postgraduate,21912.0,26184.0
Media and Communications,Postgraduate,22608.0,22608.0
Methodology,Postgraduate,21912.0,26184.0
Philosophy Logic and Scientific Method,Postgraduate,18624.0,22608.0
Psychological and Behavioural Science,Postgraduate,17136.0,22608.0
Social Policy,Postgraduate,14640.0,22608.0
Sociology,Postgraduate,17736.0,24352.0
