Unnamed: 0,Nationality,Department,Program,2019,2019.1,2019.2,2020,2020.1,2020.2,2021,2021.1,2021.2,2022,2022.1,2022.2,Unnamed: 15,Unnamed: 16,Unnamed: 17
556,Belgian,School of Pu.. PG Taught,PG Taught,*,*,0,*,0,0,*,0,0,*,0,0,*,*,0
557,Belgian,Social Policy UG Degree PG Taught,UG Degree,*,0,0,*,*,*,*,0,0,0,0,0,0,0,0
558,Belgian,Social Policy UG Degree PG Taught,PG Taught,0,0,0,5,*,*,*,*,0,*,*,*,*,*,*
559,Belgian,Sociology UG Degree PG Taught,UG Degree,0,0,0,0,0,0,*,*,0,*,0,0,*,0,0
560,Belgian,Sociology UG Degree PG Taught,PG Taught,6,*,*,*,*,*,6,*,*,8,*,*,*,*,*
561,Belgian,Statistics UG Degree PG Taught,UG Degree,*,*,0,0,0,0,*,0,0,*,0,0,0,0,0
562,Belgian,Statistics UG Degree PG Taught,PG Taught,*,0,0,10,*,*,*,0,0,*,0,0,*,*,0
563,Belizean,Accounting UG Degree Economic Hi.. PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
564,Belizean,Accounting UG Degree Economic Hi.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
565,Belizean,Geography UG Degree and Environ.. PG Taught,UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
566,Belizean,Geography UG Degree and Environ.. PG Taught,PG Taught,*,*,*,0,0,0,*,0,0,0,0,0,0,0,0
567,Belizean,Government PG Taught,PG Taught,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0
568,Belizean,Health Policy PG Taught,PG Taught,*,*,0,*,*,0,0,0,0,0,0,0,0,0,0
569,Belizean,International.. PG Taught,PG Taught,*,0,0,0,0,0,*,*,0,0,0,0,*,0,0
570,Belizean,International UG Degree Relations PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
571,Belizean,International UG Degree Relations PG Taught,PG Taught,0,0,0,*,*,0,0,0,0,0,0,0,*,*,*
572,Belizean,Law School UG Degree Management PG Taught,UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
573,Belizean,Law School UG Degree Management PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,*,*,0,0,0,0
574,Belizean,Mathematics UG Degree Social Policy PG Taught,UG Degree,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0
575,Belizean,Mathematics UG Degree Social Policy PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*
576,Belizean,Sociology PG Taught,PG Taught,0,0,0,*,*,0,0,0,0,0,0,0,*,0,0
577,Belizean,Statistics PG Taught,PG Taught,*,*,0,*,*,0,*,*,0,*,0,0,0,0,0
578,Benin,Accounting PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
579,Benin,Finance PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
580,Benin,Geography .. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
581,Benin,Government UG Degree Management PG Taught,UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
582,Benin,Government UG Degree Management PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,*,0,0
583,Benin,Methodology PG Taught,PG Taught,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0
584,Benin,Statistics UG Degree,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
585,Bermudan,Economic Hi.. UG Degree,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
586,Bermudan,Government UG Degree International.. PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,0,0,0
587,Bermudan,Government UG Degree International.. PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
588,Bermudan,International.. UG Degree,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
589,Bermudan,Management UG Degree PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0
590,Bermudan,Management UG Degree PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
591,Bermudan,"Philosophy, .. UG Degree",UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
592,Bermudan,Statistics UG Degree Gender Stud.. PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0
593,Bhutan,Statistics UG Degree Gender Stud.. PG Taught,PG Taught,0,0,0,*,*,0,0,0,0,*,0,0,0,0,0
594,Bhutan,Geography .. UG Degree Government PG Taught,UG Degree,*,0,0,0,0,0,*,0,0,0,0,0,0,0,0
595,Bhutan,Geography .. UG Degree Government PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
596,Bhutan,International.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,*,0,0
597,Bhutan,International.. PG Taught,PG Taught,*,*,0,*,*,*,0,0,0,0,0,0,0,0,0
598,Bhutan,Management PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
599,Bhutan,Methodology PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
600,Bhutan,School of Pu.. PG Taught,PG Taught,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0
601,Bhutan,Social Policy PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
602,Bhutan,Sociology PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,0,*,0,0
603,Bolivian,Accounting UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,*,0,0,*,0,0
604,Bolivian,Accounting UG Degree PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,*,*,*
605,Bolivian,Anthropology PG Taught,PG Taught,0,0,0,*,*,0,*,*,0,0,0,0,*,*,0
606,Bolivian,Economic UG Degree History PG Taught,UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
607,Bolivian,Economic UG Degree History PG Taught,PG Taught,*,*,*,*,0,0,*,*,0,*,0,0,*,0,0
608,Bolivian,Economics UG Degree Finance PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,*,0,0
609,Bolivian,Economics UG Degree Finance PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
610,Bolivian,Gender Stud.. PG Taught,PG Taught,*,*,*,0,0,0,*,*,*,0,0,0,0,0,0
611,Bolivian,Geography .. PG Taught,PG Taught,*,*,*,*,*,0,*,*,*,*,*,*,0,0,0
612,Bolivian,Government PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,*,*,0,0,0,0
613,Bolivian,International.. PG Taught,PG Taught,0,0,0,*,*,0,*,*,*,*,*,*,7,5,*
614,Bolivian,International UG Degree Relations PG Taught,UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,*,0,0
615,Bolivian,International UG Degree Relations PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,*,0,0,*,*,*
616,Bolivian,Language C.. UG Degree Law School PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
617,Bolivian,Language C.. UG Degree Law School PG Taught,PG Taught,*,*,0,*,*,0,0,0,0,*,*,0,*,*,0
618,Bolivian,Management UG Degree PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
619,Bolivian,Management UG Degree PG Taught,PG Taught,*,*,*,*,*,0,*,*,0,0,0,0,*,0,0
620,Bolivian,Media and C.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,0,*,*,*
621,Bolivian,"Philosophy, UG Degree Logic and S.. PG Taught",UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
622,Bolivian,"Philosophy, UG Degree Logic and S.. PG Taught",PG Taught,*,*,*,0,0,0,0,0,0,*,*,0,*,*,*
623,Bolivian,Psychologic.. PG Taught,PG Taught,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0
624,Bolivian,School of Pu.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0
625,Bolivian,Social Policy PG Taught,PG Taught,*,*,*,0,0,0,0,0,0,0,0,0,*,*,0
626,Bolivian,Sociology PG Taught,PG Taught,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0
627,Bolivian,Statistics UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,Bolivian,Statistics UG Degree PG Taught,PG Taught,*,*,0,*,*,0,0,0,0,0,0,0,0,0,0
629,Bosnian,Accounting PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
630,Bosnian,Anthropology PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
631,Bosnian,Economic Hi.. UG Degree,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
632,Bosnian,Economics UG Degree PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
633,Bosnian,Economics UG Degree PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,*,*,*,0,0,0
634,Bosnian,European In.. PG Taught,PG Taught,0,0,0,*,*,0,*,*,0,0,0,0,*,*,*
635,Bosnian,Finance PG Taught,PG Taught,*,*,0,0,0,0,*,*,0,0,0,0,0,0,0
636,Bosnian,Government PG Taught,PG Taught,*,*,0,*,*,0,*,*,0,*,*,0,0,0,0
637,Bosnian,International.. PG Taught,PG Taught,*,*,*,*,*,0,*,*,0,*,*,*,0,0,0
638,Bosnian,International.. PG Taught,PG Taught,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0
639,Bosnian,International UG Degree Relations PG Taught,UG Degree,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0
640,Bosnian,International UG Degree Relations PG Taught,PG Taught,0,0,0,*,0,0,*,0,0,*,*,*,0,0,0
641,Bosnian,Law School UG Degree PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0
642,Bosnian,Law School UG Degree PG Taught,PG Taught,*,0,0,0,0,0,*,0,0,*,*,0,*,*,0
643,Bosnian,Management UG Degree PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0
644,Bosnian,Management UG Degree PG Taught,PG Taught,0,0,0,*,0,0,*,*,*,0,0,0,0,0,0
645,Bosnian,Media and C.. PG Taught,PG Taught,*,0,0,0,0,0,0,0,0,0,0,0,*,*,*
646,Bosnian,Methodology PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
647,Bosnian,"Philosophy, .. UG Degree Psychologic.. PG Taught",UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
648,Bosnian,"Philosophy, .. UG Degree Psychologic.. PG Taught",PG Taught,*,*,*,0,0,0,*,0,0,0,0,0,0,0,0
649,Bosnian,School of Pu.. PG Taught,PG Taught,0,0,0,*,0,0,*,*,0,0,0,0,0,0,0
650,Bosnian,Sociology PG Taught,PG Taught,0,0,0,*,0,0,*,*,*,*,0,0,0,0,0
651,Bosnian,Statistics PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
652,Botswanan,Accounting UG Degree PG Taught,UG Degree,0,0,0,*,0,0,*,0,0,0,0,0,0,0,0
653,Botswanan,Accounting UG Degree PG Taught,PG Taught,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0
654,Botswanan,Anthropology UG Degree,UG Degree,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0
655,Botswanan,Economic Hi.. UG Degree,UG Degree,0,0,0,0,0,0,*,0,0,0,0,0,*,*,0
656,Botswanan,Economics UG Degree PG Taught,UG Degree,*,0,0,*,0,0,*,0,0,5,0,0,*,0,0
657,Botswanan,Economics UG Degree PG Taught,PG Taught,0,0,0,*,0,0,*,0,0,0,0,0,*,0,0
658,Botswanan,Finance UG Degree PG Taught,UG Degree,0,0,0,0,0,0,*,*,0,0,0,0,*,0,0
659,Botswanan,Finance UG Degree PG Taught,PG Taught,0,0,0,*,0,0,6,*,0,*,0,0,*,0,0
660,Botswanan,Geography .. PG Taught,PG Taught,*,0,0,0,0,0,*,0,0,*,0,0,*,0,0
661,Botswanan,Government UG Degree PG Taught,UG Degree,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
662,Botswanan,Government UG Degree PG Taught,PG Taught,*,0,0,*,0,0,0,0,0,0,0,0,0,0,0
663,Botswanan,Health Policy PG Taught,PG Taught,0,0,0,*,*,*,*,*,*,0,0,0,*,*,0
664,Botswanan,International.. PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,*,0,0,*,*,*
665,Botswanan,International.. PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0
666,Botswanan,Law School UG Degree PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667,Botswanan,Law School UG Degree PG Taught,PG Taught,*,0,0,*,0,0,*,0,0,0,0,0,0,0,0
668,Botswanan,Management UG Degree PG Taught,UG Degree,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
669,Botswanan,Management UG Degree PG Taught,PG Taught,*,*,*,*,*,0,*,0,0,0,0,0,*,0,0
670,Botswanan,Mathematics UG Degree Media and C.. PG Taught,UG Degree,*,0,0,0,0,0,0,0,0,0,0,0,*,0,0
671,Botswanan,Mathematics UG Degree Media and C.. PG Taught,PG Taught,0,0,0,*,*,0,*,*,0,*,*,0,0,0,0
672,Botswanan,School of Pu.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
673,Botswanan,Social Policy PG Taught,PG Taught,*,*,*,0,0,0,*,*,0,*,*,0,*,*,0
674,Botswanan,Sociology PG Taught,PG Taught,0,0,0,*,0,0,*,0,0,*,0,0,*,*,*
675,Botswanan,Statistics UG Degree PG Taught,UG Degree,5,0,0,*,*,*,7,*,0,*,*,0,9,*,0
676,Botswanan,Statistics UG Degree PG Taught,PG Taught,*,*,0,*,0,0,*,0,0,0,0,0,0,0,0
677,Brazilian,Accounting UG Degree PG Taught,UG Degree,*,0,0,*,0,0,*,0,0,*,0,0,*,0,0
678,Brazilian,Accounting UG Degree PG Taught,PG Taught,*,*,0,*,*,*,*,0,0,*,*,0,*,*,*
679,Brazilian,Anthropology UG Degree PG Taught,UG Degree,*,0,0,0,0,0,*,0,0,*,*,0,*,*,0
680,Brazilian,Anthropology UG Degree PG Taught,PG Taught,*,*,0,*,*,0,*,*,0,5,*,*,*,*,0
681,Brazilian,Economic UG Degree History PG Taught,UG Degree,0,0,0,0,0,0,*,0,0,*,0,0,*,0,0
682,Brazilian,Economic UG Degree History PG Taught,PG Taught,*,*,0,*,*,0,*,0,0,*,*,*,6,*,*
683,Brazilian,Economics UG Degree PG Taught,UG Degree,12,*,0,14,*,*,16,0,0,13,*,*,10,*,*
684,Brazilian,Economics UG Degree PG Taught,PG Taught,18,5,*,19,6,*,5,0,0,13,5,*,12,*,0
685,Brazilian,European In.. PG Taught,PG Taught,6,*,*,*,0,0,*,*,0,*,0,0,5,*,*
686,Brazilian,Finance UG Degree PG Taught,UG Degree,*,0,0,*,0,0,*,0,0,*,0,0,*,*,0
687,Brazilian,Finance UG Degree PG Taught,PG Taught,9,0,0,13,*,*,7,*,*,7,*,*,7,*,0
688,Brazilian,Gender Stud.. PG Taught,PG Taught,16,6,*,16,7,*,8,*,0,18,7,*,9,6,*
689,Brazilian,Geography UG Degree and Environ.. PG Taught,UG Degree,*,0,0,*,*,*,0,0,0,*,0,0,6,*,0
690,Brazilian,Geography UG Degree and Environ.. PG Taught,PG Taught,9,*,0,8,*,*,19,*,*,23,6,*,18,5,*
691,Brazilian,Government UG Degree PG Taught,UG Degree,9,*,0,7,0,0,13,0,0,12,*,0,7,0,0
692,Brazilian,Government UG Degree PG Taught,PG Taught,22,8,*,17,7,*,23,9,*,17,9,*,17,6,*
693,Brazilian,Health Policy PG Taught,PG Taught,0,0,0,*,*,0,*,*,0,*,*,*,*,*,*
694,Brazilian,International.. PG Taught,PG Taught,35,14,*,13,*,*,15,8,*,25,9,*,21,8,0
695,Brazilian,International UG Degree History PG Taught,UG Degree,*,*,0,*,*,*,*,0,0,5,*,*,*,*,*
696,Brazilian,International UG Degree History PG Taught,PG Taught,*,*,0,0,0,0,*,*,0,*,*,0,*,0,0
697,Brazilian,International UG Degree Relations PG Taught,UG Degree,8,5,0,*,0,0,9,*,*,8,*,*,7,*,0
698,Brazilian,International UG Degree Relations PG Taught,PG Taught,15,*,*,13,*,*,10,5,*,6,*,*,8,*,*
699,Brazilian,Language C.. UG Degree,UG Degree,*,0,0,0,0,0,*,*,0,*,0,0,0,0,0
700,Brazilian,Law School UG Degree PG Taught,UG Degree,*,0,0,6,*,*,*,0,0,*,0,0,6,*,0
701,Brazilian,Law School UG Degree PG Taught,PG Taught,52,17,7,51,16,6,61,25,8,46,25,8,50,29,9
702,Brazilian,Management UG Degree PG Taught,UG Degree,*,0,0,*,0,0,5,0,0,6,0,0,5,0,0
703,Brazilian,Management UG Degree PG Taught,PG Taught,18,7,*,18,6,*,11,8,*,18,10,*,8,*,*
704,Brazilian,Mathematics UG Degree PG Taught,UG Degree,0,0,0,*,*,0,*,0,0,*,0,0,*,0,0
705,Brazilian,Mathematics UG Degree PG Taught,PG Taught,6,*,*,0,0,0,*,*,0,*,0,0,0,0,0
706,Brazilian,Media and C.. PG Taught,PG Taught,14,8,*,18,8,*,12,5,*,15,10,5,*,*,0
707,Brazilian,Methodology PG Taught,PG Taught,*,*,0,0,0,0,*,0,0,*,*,0,*,*,*
708,Brazilian,"Philosophy, UG Degree Logic and S.. PG Taught",UG Degree,8,0,0,*,*,0,*,0,0,*,0,0,5,0,0
709,Brazilian,"Philosophy, UG Degree Logic and S.. PG Taught",PG Taught,0,0,0,*,*,0,*,*,*,*,*,0,*,0,0
710,Brazilian,Psychological UG Degree and Behavio.. PG Taught,UG Degree,*,0,0,0,0,0,*,0,0,*,*,0,*,0,0
711,Brazilian,Psychological UG Degree and Behavio.. PG Taught,PG Taught,9,*,*,17,7,*,11,*,*,6,*,0,7,*,*
712,Brazilian,School of Pu.. PG Taught,PG Taught,12,6,*,19,10,*,19,15,*,15,8,*,27,15,*
713,Brazilian,Social Policy UG Degree Social Policy PG Taught,UG Degree,*,0,*,*,0,0,*,0,0,*,0,0,8,*,0
714,Brazilian,Social Policy UG Degree Social Policy PG Taught,PG Taught,15,5,*,10,*,*,19,7,*,16,7,*,*,*,0
715,Brazilian,Sociology UG Degree PG Taught,UG Degree,*,0,0,*,*,0,*,0,0,0,0,0,0,0,0
716,Brazilian,Sociology UG Degree PG Taught,PG Taught,26,7,*,16,*,*,29,8,*,28,11,*,15,6,*
717,Brazilian,Statistics UG Degree PG Taught,UG Degree,*,0,0,*,0,0,*,0,0,0,0,0,*,0,0
718,Brazilian,Statistics UG Degree PG Taught,PG Taught,*,0,0,*,0,0,*,0,0,*,0,0,0,0,0
719,British,Accounting UG Degree PG Taught,UG Degree,526,135,39,559,161,44,641,75,42,739,125,48,814,110,34
720,British,Accounting UG Degree PG Taught,PG Taught,81,28,16,69,30,13,71,32,20,44,20,7,54,17,8
721,British,Anthropology UG Degree PG Taught,UG Degree,270,121,36,280,128,34,305,102,32,345,125,37,326,114,40
722,British,Anthropology UG Degree PG Taught,PG Taught,32,17,8,52,31,11,45,39,14,41,28,12,44,29,17
723,British,Economic UG Degree History PG Taught,UG Degree,345,82,35,341,77,48,462,64,41,485,82,48,479,72,43
724,British,Economic UG Degree History PG Taught,PG Taught,54,26,13,68,34,24,73,48,29,77,42,35,63,25,19
725,British,"Economics UG Degree ,   , PG Taught",UG Degree,245,105,247,131,159,99,210,119,155,63,,,,,
726,British,"Economics UG Degree ,   , PG Taught",PG Taught,129,49,20,135,55,18,131,55,20,114,49,13,98,38,13
727,British,European In.. PG Taught,PG Taught,49,26,15,73,46,28,64,47,30,35,24,11,51,29,19
728,British,Finance UG Degree PG Taught,UG Degree,92,29,12,115,38,19,147,23,16,231,33,21,221,42,26
729,British,Finance UG Degree PG Taught,PG Taught,300,34,16,254,35,17,301,41,16,206,28,13,213,29,19
730,British,Gender Stud.. PG Taught,PG Taught,99,42,28,109,59,44,115,61,40,115,62,32,108,65,38
731,British,Geography UG Degree and Environ.. PG Taught,UG Degree,321,191,39,406,208,57,462,154,58,502,179,71,585,159,58
732,British,Geography UG Degree and Environ.. PG Taught,PG Taught,166,52,31,296,117,72,289,97,50,196,74,33,193,64,29
733,British,Government UG Degree PG Taught,UG Degree,850,256,88,892,264,96,187,92,224,113,184,74,,,
734,British,Government UG Degree PG Taught,PG Taught,222,74,51,226,99,60,282,117,62,188,71,32,151,75,35
735,British,Health Policy PG Taught,PG Taught,67,43,27,90,61,53,73,43,26,58,46,31,72,39,29
736,British,International.. PG Taught,PG Taught,231,84,51,282,124,83,273,114,69,206,89,55,219,94,54
737,British,International UG Degree History PG Taught,UG Degree,408,227,45,347,236,48,373,172,51,709,273,97,746,233,70
738,British,International UG Degree History PG Taught,PG Taught,88,61,35,148,96,68,161,83,49,126,70,40,108,59,42
739,British,International UG Degree Relations PG Taught,UG Degree,213,56,22,181,56,31,240,41,22,271,55,27,260,36,16
740,British,International UG Degree Relations PG Taught,PG Taught,188,59,29,173,67,43,206,60,30,137,45,30,135,44,28
741,British,Language C.. UG Degree,UG Degree,74,33,9,77,34,5,91,37,18,106,32,13,99,44,15
742,British,Law School UG Degree PG Taught,UG Degree,874,268,56,892,280,83,927,208,91,263,94,234,91,,
743,British,Law School UG Degree PG Taught,PG Taught,160,65,25,144,89,40,181,99,45,122,61,25,97,53,21
744,British,Management UG Degree PG Taught,UG Degree,200,95,37,211,93,29,259,68,42,300,91,40,282,74,42
745,British,Management UG Degree PG Taught,PG Taught,298,81,40,373,126,63,314,117,53,254,96,46,201,56,26
746,British,Mathematics UG Degree PG Taught,UG Degree,328,163,56,304,165,79,385,135,84,392,160,82,524,155,81
747,British,Mathematics UG Degree PG Taught,PG Taught,73,22,10,70,20,8,102,27,12,72,25,11,63,22,11
748,British,Media and C.. PG Taught,PG Taught,80,36,23,107,50,30,98,48,19,65,32,19,63,24,17
749,British,Methodology PG Taught,PG Taught,33,7,*,58,25,14,46,23,13,35,21,8,45,12,*
750,British,"Philosophy, UG Degree Logic and S.. PG Taught",UG Degree,366,152,41,365,147,51,433,133,51,426,163,69,510,120,36
751,British,"Philosophy, UG Degree Logic and S.. PG Taught",PG Taught,50,27,15,94,32,22,70,27,16,53,25,14,57,37,26
752,British,Psychological UG Degree and Behavio.. PG Taught,UG Degree,87,46,12,71,41,10,110,55,25,146,67,16,171,66,20
753,British,Psychological UG Degree and Behavio.. PG Taught,PG Taught,118,36,22,155,75,41,195,64,44,132,56,44,117,41,31
754,British,School of Pu.. PG Taught,PG Taught,34,17,5,34,16,8,20,11,7,26,10,5,39,10,5
755,British,Social Policy UG Degree PG Taught,UG Degree,255,117,28,183,99,30,233,68,30,253,101,49,308,85,32
756,British,Social Policy UG Degree PG Taught,PG Taught,138,62,32,148,75,49,167,108,59,105,64,36,93,48,28
757,British,Sociology UG Degree PG Taught,UG Degree,140,94,17,158,100,30,143,62,28,186,75,25,197,63,21
758,British,Sociology UG Degree PG Taught,PG Taught,156,81,54,213,110,63,213,116,69,176,94,53,152,80,47
759,British,Statistics UG Degree PG Taught,UG Degree,220,102,37,227,109,34,322,114,58,359,112,55,397,107,47
760,British,Statistics UG Degree PG Taught,PG Taught,117,16,9,120,13,5,108,22,6,81,14,9,78,20,7
761,British India.. British National (Overseas),International.. PG Taught,PG Taught,0,0,0,*,*,*,0,0,0,0,0,0,0,0,0
762,British India.. British National (Overseas),Accounting PG Taught,PG Taught,*,0,0,*,0,0,*,*,*,0,0,0,*,0,0
763,British India.. British National (Overseas),Economic Hi.. PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
764,British India.. British National (Overseas),Economic Hi.. PG Taught,,,,,,,,,,,,,,,,
765,British India.. British National (Overseas),Economics PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0
766,British National (Overseas),European In.. PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
767,British National (Overseas),European In.. PG Taught,,,,,,,,,,,,,,,,
768,British National (Overseas),Finance PG Taught,PG Taught,*,0,0,*,0,0,10,*,0,6,0,0,*,0,0
769,British National (Overseas),Geography .. PG Taught,PG Taught,5,*,*,*,0,0,*,*,0,0,0,0,0,0,0
770,British National (Overseas),Government PG Taught,PG Taught,*,0,0,*,*,*,*,*,*,*,*,*,*,*,*
771,British National (Overseas),Health Policy PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0
772,British National (Overseas),International.. PG Taught,PG Taught,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0
773,British National (Overseas),International.. PG Taught,PG Taught,*,*,0,*,*,*,*,*,0,*,0,0,0,0,0
774,British National (Overseas),International.. PG Taught,PG Taught,*,0,0,*,*,0,*,*,*,*,0,0,*,0,0
775,British National (Overseas),Law School PG Taught,PG Taught,*,*,0,*,*,*,*,0,0,*,0,0,*,0,0
776,British National (Overseas),Management PG Taught,PG Taught,7,*,*,6,*,*,11,*,*,*,0,0,6,*,0
777,British National (Overseas),Mathematics PG Taught,PG Taught,*,0,0,*,0,0,*,0,0,*,*,0,*,*,0
778,British National (Overseas),Media and C.. PG Taught,PG Taught,*,*,*,0,0,0,*,*,*,*,*,0,*,0,0
779,British National (Overseas),Methodology PG Taught,PG Taught,*,0,0,*,0,0,0,0,0,*,0,0,*,0,0
780,British National (Overseas),Psychologic.. PG Taught,PG Taught,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0
781,British National (Overseas),School of Pu.. PG Taught,PG Taught,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0
782,British National (Overseas),Social Policy PG Taught,PG Taught,*,0,0,0,0,0,*,*,*,*,0,0,*,0,0
783,British National (Overseas),Sociology PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,*,*,*,*,*,*
784,British National (Overseas),Statistics PG Taught,PG Taught,*,0,0,0,0,0,*,0,0,*,0,0,*,0,0
785,British Overseas Citizen,European In.. PG Taught,PG Taught,0,0,0,0,0,0,*,*,*,0,0,0,0,0,0
786,British Overseas Citizen,Gender Stud.. PG Taught,PG Taught,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0
787,British Overseas Citizen,Gender Stud.. PG Taught,,,,,,,,,,,,,,,,
788,British Overseas Citizen,Geography .. PG Taught,PG Taught,0,0,0,0,0,0,*,*,0,0,0,0,*,0,0
789,British Overseas Citizen,International.. PG Taught,PG Taught,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0
790,British Overseas Citizen,Management PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
791,British Overseas Citizen,Media and C.. PG Taught,PG Taught,0,0,0,*,0,0,*,*,*,0,0,0,0,0,0
792,British Overseas Citizen,Social Policy PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
793,British Overseas Citizen,Sociology PG Taught,PG Taught,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0
794,Brunei,Accounting UG Degree,UG Degree,*,0,0,*,0,0,*,0,0,*,0,0,0,0,0
795,Brunei,Anthropology UG Degree,UG Degree,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0
796,Brunei,Economics UG Degree PG Taught,UG Degree,0,0,0,0,0,0,*,*,*,*,*,*,*,0,0
797,Brunei,Economics UG Degree PG Taught,PG Taught,0,0,0,*,*,0,*,0,0,0,0,0,0,0,0
798,Brunei,Finance PG Taught,PG Taught,*,0,0,*,*,0,0,0,0,0,0,0,*,0,0
