Country,Nationality,GDP,Population,GDP per Capita
North Macedonia,,13563132057,2093599,6478
Rwanda,Rwandan,13312796765,13776698,966
Malawi,Malawian,13164667627,20405317,645
Mauritius,Mauritian,12898307089,1299469,9926
Bahamas,Bahamian,12897400000,409984,31458
Chad,Chadian,12704149842,17723315,717
Namibia,Namibian,12607436976,2567012,4911
Equatorial Guinea,"Equatorial Guinean, Equatoguinean",11813908448,1674908,7053
Kyrgyzstan,"Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz",10930644915,6630623,1649
Tajikistan,Tajikistani,10492123388,9952787,1054
Mauritania,Mauritanian,10375460680,4736139,2191
Togo,Togolese,8126439481,8848699,918
Maldives,Maldivian,6189865408,523787,11818
Montenegro,Montenegrin,6095978868,627082,9721
Barbados,Barbadian,5637914515,281635,20019
Fiji,Fijian,4943248200,929766,5317
Eswatini,,4854167638,1201670,4040
Liberia,Liberian,4001047150,5302681,755
Sierra Leone,Sierra Leonean,3970343852,8605718,461
Suriname,Surinamese,3620655116,618040,5858
Andorra,Andorran,3352032737,79824,41993
Timor-Leste,Timorese,3163324631,1341296,2358
Burundi,Burundian,3073414678,12889576,238
Belize,Belizean,2824081836,405272,6968
Lesotho,Basotho,2553459763,2305825,1107
Central African Republic,Central African,2382618615,5579144,427
Cabo Verde,Cabo Verdean,2314816792,593149,3903
Gambia,Gambian,2273060863,2705992,840
Saint Lucia,Saint Lucian,2065027556,179857,11481
Antigua and Barbuda,Antiguan or Barbudan,1757603704,93763,18745
Guinea-Bissau,Bissau-Guinean,1633559092,2105566,776
Solomon Islands,Solomon Island,1595710784,724273,2203
Seychelles,Seychellois,1588406479,107118,14829
Grenada,Grenadian,1256413185,125438,10016
Comoros,"Comoran, Comorian",1242519407,836774,1485
Vanuatu,"Ni-Vanuatu, Vanuatuan",983582865,326740,3010
Saint Kitts & Nevis,,961563259,47657,20177
St. Vincent & Grenadines,,948558503,103948,9125
Samoa,Samoan,832421565,222382,3743
Dominica,Dominican,612048148,72737,8415
Sao Tome & Principe,,546680342,227380,2404
Micronesia,,427094119,539013,792
Marshall Islands,Marshallese,279667900,41569,6728
Kiribati,I-Kiribati,223352943,131232,1702
Tuvalu,Tuvaluan,60349391,11312,5335
