Department,Level,Fee Difference
Accounting,Postgraduate,528.0
Anthropology,Postgraduate,7368.0
Department not found,Postgraduate,2955.483870967742
Department not found,Undergraduate,9902.0
Economic History,Postgraduate,7368.0
Economics,Postgraduate,264.0
European Institute,Postgraduate,0.0
Finance,Postgraduate,0.0
Gender Studies,Postgraduate,7368.0
Geography and Environment,Postgraduate,6140.0
Health Policy,Postgraduate,
International Development,Postgraduate,5526.0
International History,Postgraduate,7368.0
Management,Postgraduate,422.4
Mathematics,Postgraduate,528.0
Media and Communications,Postgraduate,0.0
Methodology,Postgraduate,528.0
Psychological and Behavioural Science,Postgraduate,7368.0
Social Policy,Postgraduate,10176.0
Sociology,Postgraduate,5580.0
Statistics,Postgraduate,528.0
