Department,Level,Fee Difference
Accounting,Postgraduate,696.0
Accounting,Undergraduate,17942.0
Anthropology,Postgraduate,10056.0
Anthropology,Undergraduate,16934.0
Department not found,Postgraduate,3521.0
Department not found,Undergraduate,17438.0
Economic History,Postgraduate,6024.0
Economic History,Undergraduate,17598.0
Economics,Postgraduate,0.0
Economics,Undergraduate,18926.0
European Institute,Postgraduate,0.0
Finance,Postgraduate,0.0
Finance,Undergraduate,18926.0
Gender Studies,Postgraduate,10056.0
Geography and Environment,Postgraduate,8220.0
Geography and Environment,Undergraduate,17438.0
Government,Postgraduate,0.0
Government,Undergraduate,17740.4
Health Policy,Postgraduate,6416.0
International Development,Postgraduate,10056.0
International History,Postgraduate,10056.0
International History,Undergraduate,16934.0
International Relations,Undergraduate,17942.0
Language Centre,Undergraduate,16934.0
Management,Postgraduate,696.0
Management,Undergraduate,17942.0
Mathematics,Postgraduate,696.0
Mathematics,Undergraduate,17942.0
Media and Communications,Postgraduate,0.0
Methodology,Postgraduate,696.0
Philosophy Logic and Scientific Method,Postgraduate,10056.0
"Philosophy, Logic and Scientific Method",Undergraduate,18270.0
Psychological and Behavioural Science,Postgraduate,5896.0
Psychological and Behavioural Science,Undergraduate,16934.0
Social Policy,Undergraduate,16934.0
Sociology,Postgraduate,10100.0
Sociology,Undergraduate,16934.0
Statistics,Postgraduate,2520.0
Statistics,Undergraduate,17942.0
