"1
Undergraduate Programmes",,
Undergraduate First Degree - New Starters in 2023/24,Full time,
,Home,Overseas 3
Home students,"£9,250 2",
"Overseas students - Please see table below ""Overseas Undergraduate
MSc in Environmental Economics and Climate Change,"£20,928","£29,664","£10,464","£14,832"
MSc in Finance (Full Time),"£42,384","£42,384",,
MSc in Finance and Economics,"£33,480","£34,128",,
MSc in Finance and Private Equity,"£42,384","£42,384",,
MSc in Financial History,"£16,440","£25,920","£8,220","£12,960"
MSc in Financial Mathematics,"£33,480","£34,128",,
G,Full time,,Part time,
,Home,Overseas,Home,Overseas
MSc in Gender (All streams),"£16,440","£25,920","£8,220","£12,960"
"MSc in Gender, Development and Globalisation","£16,440","£25,920","£8,220","£12,960"
"MSc in Gender, Media and Culture","£16,440","£25,920","£8,220","£12,960"
"MSc in Gender, Peace and Security","£16,440","£25,920","£8,220","£12,960"
"MSc in Gender, Policy and Inequalities","£16,440","£25,920","£8,220","£12,960"
MSc in Geographic Data Science,"£25,920","£25,920",,
MSc in Global Health Policy,"£20,744","£29,816","£10,372","£14,908"
H,Full time,,Part time,
,Home,Overseas,Home,Overseas
MSc in Health and International Development,"£16,440","£25,920","£8,220","£12,960"
MSc in Health Data Science,"£25,920","£25,920","£12,960","£12,960"
"MSc in Health Policy, Planning and Financing","See How to Apply on the London School of Hygiene & Tropical
Medicine website",,,
MSc in History of International Relations,"£16,440","£25,920","£8,220","£12,960"
MSc in Human Geography and Urban Studies (Research),"£16,440","£25,920","£8,220","£12,960"
"MSc in Human Resources and Organisations (Organisational
Behaviour stream)","£27,816","£27,816",,
"MSc in Human Resources and Organisations (Human Resource
Management/CIPD and International Employment Relations/CIPD
streams)","£28,824","£28,824","£14,412","£14,412"
MSc in Human Rights,"£18,744","£27,816","£9,372","£13,908"
MSc in Human Rights and Politics,"£18,744","£27,816","£9,372","£13,908"
I,Full time,,Part time,
,Home,Overseas,Home,Overseas
MSc in Inequalities and Social Science,"£16,440","£25,920","£8,220","£12,960"
MSc in International and Asian History,"£16,440","£25,920",,
MSc in International Development and Humanitarian Emergencies,"£16,440","£25,920","£8,220","£12,960"
MSc in International Health Policy,"£19,752","£28,824","£9,876","£14,412"
MSc in International Migration and Public Policy,"£25,920","£25,920","£12,960","£12,960"
MSc in International Political Economy (Both streams),"£27,816","£27,816","£13,908","£13,908"
MSc in International Relations (Both streams),"£27,816","£27,816","£13,908","£13,908"
MSc in International Social and Public Policy (All streams) 5,"£16,640","£26,120","£8,420","£13,160"
L,Full time,,Part time,
,Home,Overseas,Home,Overseas
LLM,"£20,928","£34,128","£10,464","£17,064"
MSc in Local Economic Development,"£16,440","£25,920","£8,220","£12,960"
M,Full time,,Part time,
,Home,Overseas,Home,Overseas
MSc in Management (12-Month Programme) 6,"£36,480","£36,480",,
MSc in Management and Strategy,"£33,480","£34,128",,
MSc in Management of Information Systems and Digital Innovation,"£33,480","£34,128","£16,740","£17,064"
MSc in Marketing,"£33,480","£34,128","£16,740","£17,064"
MSc in Media and Communications (All streams),"£25,920","£25,920","£12,960","£12,960"
"MSc in Media, Communication and Development","£25,920","£25,920","£12,960","£12,960"
MA in Modern History,"£16,440","£25,920","£8,220","£12,960"
O,Full time,,Part time,
,Home,Overseas,Home,Overseas
MSc in Operations Research and Analytics,"£27,816","£27,816","£13,908","£13,908"
MSc in Organisational and Social Psychology,"£25,920","£25,920","£12,960","£12,960"
P,Full time,,Part time,
,Home,Overseas,Home,Overseas
MSc in Philosophy and Public Policy,"£25,920","£25,920","£12,960","£12,960"
MSc in Philosophy of Science,"£16,440","£25,920","£8,220","£12,960"
MSc in Philosophy of the Social Sciences,"£16,440","£25,920","£8,220","£12,960"
MSc in Political Economy of Europe,"£25,920","£25,920","£12,960","£12,960"
MSc in Political Economy of Late Development,"£16,440","£25,920",,
MSc in Political Science (All streams),"£25,920","£25,920","£12,960","£12,960"
MSc in Political Sociology,"£16,440","£25,920","£8,220","£12,960"
