Department,Level,Fee Difference
Accounting,Postgraduate,600.0
Anthropology,Postgraduate,8304.0
Department not found,Postgraduate,2509.6470588235293
Department not found,Undergraduate,13180.0
Economic History,Postgraduate,8304.0
Economics,Postgraduate,400.0
European Institute,Postgraduate,0.0
Finance,Postgraduate,0.0
Gender Studies,Postgraduate,8304.0
Geography and Environment,Postgraduate,6177.0
Government,Postgraduate,8304.0
Health Policy,Postgraduate,5264.0
International Development,Postgraduate,5536.0
International History,Postgraduate,8304.0
Management,Postgraduate,480.0
Mathematics,Postgraduate,4452.0
Media and Communications,Postgraduate,0.0
Methodology,Postgraduate,4452.0
Philosophy Logic and Scientific Method,Postgraduate,4152.0
Psychological and Behavioural Science,Postgraduate,4832.0
Social Policy,Postgraduate,8304.0
Sociology,Postgraduate,8140.8
Statistics,Postgraduate,600.0
